Date,Open,High,Low,Close
2011-10-04,606749982720.0,612000006144.0,514500001792.0,514500001792.0
2011-10-05,493649985536.0,497250009088.0,453450006528.0,453450006528.0
2011-10-06,452849991680.0,469500002304.0,434999984128.0,434999984128.0
2011-10-07,426449993728.0,464399990784.0,421200003072.0,441299992576.0
2011-10-10,413699997696.0,413999988736.0,389850005504.0,389850005504.0
2011-10-11,392549990400.0,393150005248.0,372749991936.0,376499994624.0
2011-10-12,348600008704.0,348600008704.0,312149999616.0,321899986944.0
2011-10-13,333000015872.0,350549999616.0,324150001664.0,324150001664.0
2011-10-14,293399986176.0,310349987840.0,287100010496.0,292199989248.0
2011-10-17,289349992448.0,348749987840.0,289349992448.0,348749987840.0
2011-10-18,346200014848.0,369300013056.0,297750003712.0,325500010496.0
2011-10-19,314999996416.0,370800001024.0,309000011776.0,361649995776.0
2011-10-20,366300004352.0,391950008320.0,356999987200.0,362250010624.0
2011-10-21,338099994624.0,350250008576.0,325500010496.0,325500010496.0
2011-10-24,317550002176.0,317550002176.0,284550004736.0,285900013568.0
2011-10-25,293549998080.0,327749992448.0,293549998080.0,323249995776.0
2011-10-26,297450012672.0,343650009088.0,294299992064.0,297599991808.0
2011-10-27,235949998080.0,247950000128.0,214049996800.0,218250002432.0
2011-10-28,226199994368.0,229650006016.0,211650002944.0,214350004224.0
2011-10-31,234600005632.0,259950002176.0,230850002944.0,259950002176.0
2011-11-01,339000000512.0,352199999488.0,315449999360.0,336150003712.0
2011-11-02,311999987712.0,337950015488.0,308100005888.0,315449999360.0
2011-11-03,297149988864.0,335400009728.0,283049984000.0,285750001664.0
2011-11-04,300300009472.0,317849993216.0,288149995520.0,296550006784.0
2011-11-07,299850006528.0,314999996416.0,290999992320.0,291150004224.0
2011-11-08,283199995904.0,299100012544.0,262500007936.0,263700004864.0
2011-11-09,303150006272.0,365249986560.0,299249991680.0,361350004736.0
2011-11-10,318749999104.0,356249993216.0,313500008448.0,315600011264.0
2011-11-11,292199989248.0,292649992192.0,281999998976.0,289349992448.0
2011-11-14,297900015616.0,314700005376.0,296699985920.0,303150006272.0
2011-11-15,314099990528.0,319799984128.0,292350001152.0,297300000768.0
2011-11-16,315900002304.0,330149986304.0,294000001024.0,326099992576.0
2011-11-17,331049992192.0,369750016000.0,325199986688.0,357149999104.0
2011-11-18,336749985792.0,356699996160.0,332699992064.0,332699992064.0
2011-11-21,368100016128.0,369150001152.0,336899997696.0,340949991424.0
2011-11-22,344550014976.0,351299993600.0,324899995648.0,326700007424.0
2011-11-23,342300000256.0,357600002048.0,337649991680.0,356100014080.0
2011-11-25,358500007936.0,367799992320.0,344699994112.0,365249986560.0
2011-11-28,316649996288.0,337500012544.0,311100014592.0,330450010112.0
2011-11-29,324150001664.0,330599989248.0,310049996800.0,316499984384.0
2011-11-30,273899995136.0,278549987328.0,259049996288.0,260400005120.0
2011-12-01,262500007936.0,263700004864.0,245100003328.0,248549998592.0
2011-12-02,234150002688.0,248250007552.0,226049998848.0,247049994240.0
2011-12-05,226799992832.0,251550007296.0,226199994368.0,246300000256.0
2011-12-06,246300000256.0,249450004480.0,237749993472.0,244050001920.0
2011-12-07,251249999872.0,270750007296.0,251100004352.0,259499999232.0
2011-12-08,273899995136.0,287400001536.0,269999996928.0,283499986944.0
2011-12-09,275699990528.0,276300005376.0,243149996032.0,244199997440.0
2011-12-12,253049995264.0,262500007936.0,244799995904.0,244799995904.0
2011-12-13,235049992192.0,252449996800.0,224700006400.0,242850004992.0
2011-12-14,242099994624.0,254099996672.0,235949998080.0,243749994496.0
2011-12-15,226799992832.0,231749992448.0,219750006784.0,225599995904.0
2011-12-16,210749997056.0,228600004608.0,210749997056.0,223050006528.0
2011-12-19,218250002432.0,222000005120.0,209249992704.0,218100006912.0
2011-12-20,199050002432.0,199050002432.0,191250006016.0,191400001536.0
2011-12-21,187649998848.0,193199996928.0,165600002048.0,166200000512.0
2011-12-22,158850007040.0,169500000256.0,152549998592.0,166050004992.0
2011-12-23,161399996416.0,177299996672.0,160949993472.0,173999996928.0
