Date,Open,High,Low,Close
2018-01-25,1770.24,1770.24,1770.24,1770.24
2018-01-26,1770.24,1770.24,1770.24,1770.24
2018-01-29,1868.8,1893.12,1868.8,1893.12
2018-01-30,1970.5601,2035.84,1951.36,1955.2
2018-01-31,1917.4399,1963.52,1917.4399,1961.6
2018-02-01,1929.6,1929.6,1850.88,1862.848
2018-02-02,1922.5601,2131.2,1921.92,2102.3999
2018-02-05,2172.1599,2839.6799,2088.3201,2807.04
2018-02-06,2944.0,3718.3999,2759.4241,2759.4241
2018-02-07,2799.3601,2885.76,2682.8799,2850.5601
2018-02-08,2907.52,3531.52,2903.04,3531.52
2018-02-09,3182.0801,3609.6001,3136.0,3217.9199
2018-02-12,3089.9199,3205.1201,3072.0,3107.2
2018-02-13,3123.8401,3139.8401,3046.3999,3070.0801
2018-02-14,3028.48,3029.1201,2708.48,2718.72
2018-02-15,2625.9199,2741.76,2616.6399,2656.0
2018-02-16,2700.8,2735.3601,2595.8401,2695.6799
2018-02-20,2764.8,2859.52,2744.96,2805.76
2018-02-21,2778.24,2850.5601,2629.1201,2848.0
2018-02-22,2767.3601,2848.6399,2739.2,2810.8799
2018-02-23,2721.28,2743.04,2590.0801,2591.3601
2018-02-26,2516.48,2528.6399,2476.8,2513.9199
2018-02-27,2506.9441,2727.6799,2506.9441,2714.24
2018-02-28,2644.48,2837.1201,2636.8,2826.24
2018-03-01,2804.48,3156.48,2804.48,3020.8
2018-03-02,3179.52,3233.28,2887.6799,2887.6799
2018-03-05,2942.0801,2942.0801,2754.5601,2781.4399
2018-03-06,2759.6799,2880.6399,2759.6799,2796.1599
2018-03-07,2848.0,2848.0,2753.9199,2754.5601
2018-03-08,2725.1201,2726.3999,2725.1201,2725.76
2018-03-09,2580.48,2580.48,2448.0,2448.0
2018-03-12,2490.8799,2560.0,2490.8799,2544.6399
2018-03-13,2565.1201,2605.4399,2565.1201,2605.4399
2018-03-14,2591.3601,2686.0801,2591.3601,2662.3999
2018-03-15,2576.6399,2604.1599,2576.6399,2588.1599
2018-03-16,2515.2,2515.2,2515.2,2515.2
2018-03-19,2580.48,2891.52,2580.48,2775.6799
2018-03-20,2757.1201,2757.1201,2722.5601,2722.5601
2018-03-21,2685.4399,2695.6799,2547.2,2623.3601
2018-03-22,2890.24,3041.9199,2779.52,3020.8
2018-03-23,3010.5601,3201.28,2913.28,3200.0
2018-03-26,3016.96,3150.0801,2963.2,2963.2
2018-03-27,2963.2,3238.3999,2963.2,3185.9199
2018-03-28,3278.72,3296.0,3206.0801,3206.0801
2018-03-29,3136.0,3136.0,3136.0,3136.0
2018-04-02,3114.24,3418.8799,3100.1599,3317.76
2018-04-03,3235.8401,3274.8799,3175.6799,3175.6799
2018-04-04,3367.6799,3374.0801,3106.5601,3115.52
2018-04-05,3031.6799,3031.6799,3031.6799,3031.6799
2018-04-06,3066.24,3308.8,3066.24,3187.2
